County,Trump_Votes,Trump_Pct,Biden_Votes,Biden_Pct,Other_Votes,Other_Pct,Margin,Margin_Pct,Total
ANDERSON,"15,110",78.59,"3,955",20.57,162,0.84,"11,155",58.02,"19,227"
ANDREWS,"4,943",84.31,850,14.5,70,1.19,"4,093",69.81,"5,863"
ANGELINA,"25,076",72.4,"9,143",26.4,416,1.2,"15,933",46.0,"34,635"
ARANSAS,"9,239",75.17,"2,916",23.73,135,1.1,"6,323",51.44,"12,290"
ARCHER,"4,300",89.66,446,9.3,50,1.04,"3,854",80.36,"4,796"
ARMSTRONG,"1,035",93.08,75,6.74,2,0.18,960,86.34,"1,112"
ATASCOSA,"12,039",66.37,"5,876",32.4,223,1.23,"6,163",33.97,"18,138"
AUSTIN,"11,447",78.48,"2,951",20.23,188,1.29,"8,496",58.25,"14,586"
BAILEY,"1,434",77.1,409,21.99,17,0.91,"1,025",55.11,"1,860"
BANDERA,"10,057",79.03,"2,505",19.68,164,1.29,"7,552",59.35,"12,726"
BASTROP,"20,516",55.81,"15,474",42.09,772,2.1,"5,042",13.72,"36,762"
BAYLOR,"1,494",87.78,183,10.75,25,1.47,"1,311",77.03,"1,702"
BEE,"6,006",63.72,"3,288",34.88,132,1.4,"2,718",28.84,"9,426"
BELL,"67,893",53.17,"57,014",44.65,"2,783",2.18,"10,879",8.52,"127,690"
BEXAR,"308,618",40.05,"448,452",58.2,"13,501",1.75,"-139,834",-18.15,"770,571"
BLANCO,"5,443",72.97,"1,911",25.62,105,1.41,"3,532",47.35,"7,459"
BORDEN,397,95.43,16,3.85,3,0.72,381,91.58,416
BOSQUE,"7,469",81.84,"1,561",17.1,96,1.06,"5,908",64.74,"9,126"
BOWIE,"27,116",70.87,"10,747",28.09,398,1.04,"16,369",42.78,"38,261"
BRAZORIA,"90,433",58.35,"62,228",40.15,"2,323",1.5,"28,205",18.2,"154,984"
BRAZOS,"47,530",55.71,"35,349",41.43,"2,434",2.86,"12,181",14.28,"85,313"
BREWSTER,"2,461",51.04,"2,258",46.83,103,2.13,203,4.21,"4,822"
BRISCOE,639,88.14,78,10.76,8,1.1,561,77.38,725
BROOKS,998,40.18,"1,470",59.18,16,0.64,-472,-19.0,"2,484"
BROWN,"13,698",85.78,"2,107",13.19,164,1.03,"11,591",72.59,"15,969"
BURLESON,"6,743",78.33,"1,788",20.77,78,0.9,"4,955",57.56,"8,609"
BURNET,"18,767",75.93,"5,639",22.81,311,1.26,"13,128",53.12,"24,717"
CALDWELL,"8,031",53.64,"6,672",44.56,270,1.8,"1,359",9.08,"14,973"
CALHOUN,"5,641",71.8,"2,148",27.34,67,0.86,"3,493",44.46,"7,856"
CALLAHAN,"6,012",87.92,734,10.73,92,1.35,"5,278",77.19,"6,838"
CAMERON,"49,032",42.89,"64,063",56.04,"1,231",1.07,"-15,031",-13.15,"114,326"
CAMP,"3,626",71.66,"1,394",27.55,40,0.79,"2,232",44.11,"5,060"
CARSON,"2,779",89.01,297,9.51,46,1.48,"2,482",79.5,"3,122"
CASS,"11,033",79.22,"2,795",20.07,99,0.71,"8,238",59.15,"13,927"
CASTRO,"1,602",76.91,466,22.37,15,0.72,"1,136",54.54,"2,083"
CHAMBERS,"17,353",80.15,"3,997",18.46,302,1.39,"13,356",61.69,"21,652"
CHEROKEE,"15,101",77.41,"4,210",21.58,197,1.01,"10,891",55.83,"19,508"
CHILDRESS,"1,943",85.26,310,13.6,26,1.14,"1,633",71.66,"2,279"
CLAY,"5,069",88.25,614,10.69,61,1.06,"4,455",77.56,"5,744"
COCHRAN,809,80.9,177,17.7,14,1.4,632,63.2,"1,000"
COKE,"1,586",89.15,178,10.01,15,0.84,"1,408",79.14,"1,779"
COLEMAN,"3,641",88.18,451,10.92,37,0.9,"3,190",77.26,"4,129"
COLLIN,"252,318",51.26,"230,945",46.92,"8,953",1.82,"21,373",4.34,"492,216"
COLLINGSWORTH,"1,048",86.04,155,12.73,15,1.23,893,73.31,"1,218"
COLORADO,"7,472",74.91,"2,420",24.26,83,0.83,"5,052",50.65,"9,975"
COMAL,"62,740",70.58,"24,826",27.93,"1,326",1.49,"37,914",42.65,"88,892"
COMANCHE,"5,177",85.06,853,14.02,56,0.92,"4,324",71.04,"6,086"
CONCHO,"1,058",83.44,197,15.54,13,1.02,861,67.9,"1,268"
COOKE,"15,596",81.98,"3,210",16.87,219,1.15,"12,386",65.11,"19,025"
CORYELL,"15,438",65.71,"7,565",32.2,490,2.09,"7,873",33.51,"23,493"
COTTLE,540,81.57,113,17.07,9,1.36,427,64.5,662
CRANE,"1,247",82.97,241,16.03,15,1.0,"1,006",66.94,"1,503"
CROCKETT,"1,220",77.51,344,21.86,10,0.63,876,55.65,"1,574"
CROSBY,"1,396",71.48,527,26.98,30,1.54,869,44.5,"1,953"
CULBERSON,415,48.03,438,50.69,11,1.28,-23,-2.66,864
DALLAM,"1,389",86.33,197,12.24,23,1.43,"1,192",74.09,"1,609"
DALLAS,"307,076",33.29,"598,576",64.89,"16,861",1.82,"-291,500",-31.6,"922,513"
DAWSON,"2,951",77.88,808,21.32,30,0.8,"2,143",56.56,"3,789"
DEAF SMITH,"3,294",71.45,"1,264",27.42,52,1.13,"2,030",64.03,"4,610"
DELTA,"2,162",83.41,403,15.55,27,1.04,"1,759",67.86,"2,592"
DENTON,"222,480",53.23,"188,695",45.15,"6,789",1.62,"33,785",8.08,"417,964"
DEWITT,"6,567",80.89,"1,494",18.4,57,0.71,"5,073",62.49,"8,118"
DICKENS,853,86.34,130,13.16,5,0.5,723,73.18,988
DIMMIT,"1,384",37.75,"2,264",61.76,18,0.49,-880,-24.01,"3,666"
DONLEY,"1,438",87.26,198,12.01,12,0.73,"1,240",75.25,"1,648"
DUVAL,"2,443",48.35,"2,575",50.96,35,0.69,-132,-2.61,"5,053"
EASTLAND,"7,237",87.27,983,11.85,73,0.88,"6,254",75.42,"8,293"
ECTOR,"32,697",73.33,"11,367",25.49,527,1.18,"21,330",47.84,"44,591"
EDWARDS,893,83.77,168,15.76,5,0.47,725,68.01,"1,066"
EL PASO,"84,331",31.56,"178,126",66.66,"4,758",1.78,"-93,795",-35.1,"267,215"
ELLIS,"56,717",66.19,"27,565",32.17,"1,406",1.64,"29,152",34.02,"85,688"
ERATH,"13,684",81.08,"2,916",17.28,277,1.64,"10,768",63.8,"16,877"
FALLS,"4,177",68.11,"1,899",30.96,57,0.93,"2,278",37.15,"6,133"
FANNIN,"12,171",81.1,"2,655",17.69,181,1.21,"9,516",63.41,"15,007"
FAYETTE,"10,171",78.6,"2,661",20.56,109,0.84,"7,510",58.04,"12,941"
FISHER,"1,448",79.3,352,19.28,26,1.42,"1,096",60.02,"1,826"
FLOYD,"1,584",77.69,438,21.48,17,0.83,"1,146",56.21,"2,039"
FOARD,445,80.76,99,17.97,7,1.27,346,62.79,551
FORT BEND,"157,718",44.01,"195,552",54.57,"5,063",1.42,"-37,834",-10.56,"358,333"
FRANKLIN,"4,161",83.07,804,16.05,44,0.88,"3,357",67.02,"5,009"
FREESTONE,"6,991",80.25,"1,635",18.77,85,0.98,"5,356",61.48,"8,711"
FRIO,"2,823",53.48,"2,422",45.88,34,0.64,401,7.6,"5,279"
GAINES,"5,355",89.31,576,9.61,65,1.08,"4,779",79.7,"5,996"
GALVESTON,"93,911",60.56,"58,842",37.95,"2,307",1.49,"35,069",22.61,"155,060"
GARZA,"1,413",85.48,231,13.97,9,0.55,"1,182",71.51,"1,653"
GILLESPIE,"12,514",78.95,"3,176",20.04,160,1.01,"9,338",58.91,"15,850"
GLASSCOCK,611,93.57,39,5.97,3,0.46,572,87.6,653
GOLIAD,"3,085",77.22,877,21.95,33,0.83,"2,208",55.27,"3,995"
GONZALES,"5,627",73.57,"1,948",25.47,73,0.96,"3,679",48.1,"7,648"
GRAY,"6,840",87.9,829,10.65,113,1.45,"6,011",77.25,"7,782"
GRAYSON,"44,163",74.26,"14,506",24.39,805,1.35,"29,657",49.87,"59,474"
GREGG,"32,493",67.72,"14,796",30.84,693,1.44,"17,697",36.88,"47,982"
GRIMES,"9,432",75.98,"2,833",22.82,149,1.2,"6,599",53.16,"12,414"
GUADALUPE,"47,553",61.16,"28,805",37.04,"1,400",1.8,"18,748",24.12,"77,758"
HALE,"7,177",74.87,"2,279",23.77,130,1.36,"4,898",51.1,"9,586"
HALL,995,85.12,168,14.37,6,0.51,827,70.75,"1,169"
HAMILTON,"3,616",83.11,641,14.73,94,2.16,"2,975",68.38,"4,351"
HANSFORD,"1,849",90.33,166,8.11,32,1.56,"1,683",82.22,"2,047"
HARDEMAN,"1,330",84.18,241,15.25,9,0.57,"1,089",68.93,"1,580"
HARDIN,"23,858",86.33,"3,474",12.57,303,1.1,"20,384",73.76,"27,635"
HARRIS,"700,630",42.69,"918,193",55.94,"22,434",1.37,"-217,563",-13.25,"1,641,257"
HARRISON,"21,466",72.23,"7,908",26.61,343,1.16,"13,558",45.62,"29,717"
HARTLEY,"1,868",89.89,195,9.38,15,0.73,"1,673",80.51,"2,078"
HASKELL,"1,840",83.11,353,15.94,21,0.95,"1,487",67.17,"2,214"
HAYS,"47,680",43.59,"59,524",54.41,"2,191",2.0,"-11,844",-10.82,"109,395"
HEMPHILL,"1,486",86.4,206,11.98,28,1.62,"1,280",74.42,"1,720"
HENDERSON,"28,911",79.61,"7,060",19.44,346,0.95,"21,851",60.17,"36,317"
HIDALGO,"90,527",40.98,"128,199",58.04,"2,158",0.98,"-37,672",-17.06,"220,884"
HILL,"11,926",79.87,"2,860",19.15,145,0.98,"9,066",60.82,"14,931"
HOCKLEY,"6,536",80.69,"1,482",18.3,82,1.01,"5,054",62.39,"8,100"
HOOD,"26,496",81.42,"5,648",17.36,397,1.22,"20,848",64.06,"32,541"
HOPKINS,"12,719",79.79,"3,046",19.11,176,1.1,"9,673",60.68,"15,941"
HOUSTON,"7,060",74.8,"2,314",24.52,64,0.68,"4,746",50.28,"9,438"
HOWARD,"8,054",78.64,"2,069",20.2,118,1.16,"5,985",58.44,"10,241"
HUDSPETH,779,66.87,371,31.85,15,1.28,408,35.02,"1,165"
HUNT,"29,163",75.56,"8,906",23.07,528,1.37,"20,257",52.49,"38,597"
HUTCHINSON,"7,681",87.55,965,11.0,127,1.45,"6,716",76.55,"8,773"
IRION,759,85.38,120,13.5,10,1.12,639,71.88,889
JACK,"3,418",90.38,331,8.75,33,0.87,"3,087",81.63,"3,782"
JACKSON,"5,231",82.34,"1,033",16.26,89,1.4,"4,198",66.08,"6,353"
JASPER,"12,542",80.34,"2,954",18.92,115,0.74,"9,588",61.42,"15,611"
JEFF DAVIS,784,60.08,501,38.39,20,1.53,283,21.69,"1,305"
