County,Median_Household_Income,Bachelors_Degree_Pct,Unemployment_Rate,No_Health_Insurance_Pct,Median_Gross_Rent,Broadband_Pct,High_School_Grad_Pct,Upward_Mobility,Gini_Index,No_Vehicle_Pct,UOI_ALL,Voter_Turnout,fips
ANDERSON,49736,12.0,4.0,16.9,863,77.9,82.05966009261654,18.00882646039956,0.4295,5.9780299811858955,-0.13153180564261963,63.21,001
ANDREWS,80518,18.8,2.9,23.7,1229,89.7,76.06441048034935,14.827227221517091,0.4602,2.682420565224333,0.18575865217070708,56.31,003
ANGELINA,52377,18.0,6.3,19.2,901,87.2,83.8039603261445,18.54022858436121,0.4306,5.624217521106867,-0.02573533792658268,61.53,005
ARANSAS,51509,24.8,8.2,16.0,914,88.2,88.70888561610211,14.844708033265702,0.5371,5.329123612705702,-0.14815471739217945,65.32,007
ARCHER,67083,22.5,3.2,16.8,697,79.6,90.6571523398606,7.492749210825708,0.4721,3.4114506081281517,0.21537157318427105,73.24,009
ARMSTRONG,71136,26.7,1.0,8.5,920,88.1,92.10727969348659,9.44,0.3707,0.423728813559322,1.0439155736479229,77.75,011
ATASCOSA,63391,14.8,6.3,19.5,885,82.8,80.66668815887037,19.19858596115154,0.4298,5.069501226492233,-0.05521111628864419,57.37,013
AUSTIN,68400,23.9,5.5,15.4,908,81.6,87.2135922330097,20.675358585769484,0.4222,3.2936407398023815,0.3665917563967014,69.57,015
BAILEY,64044,15.0,2.3,32.4,621,79.8,71.89376443418014,57.7865924265195,0.4267,10.758196721311474,-0.29961994206905906,55.11,017
BANDERA,64495,27.5,6.7,15.4,963,86.7,90.71724657706318,16.345564094238192,0.4381,1.3002505069784087,0.4564779116282085,71.26,019
BASTROP,78339,23.1,4.0,18.6,1148,83.8,84.35882598771981,40.37234805045872,0.4055,2.606248600940168,0.5921143295902073,64.73,021
BAYLOR,43705,19.7,3.5,17.9,529,80.6,83.95808141878275,27.115932755511608,0.4672,4.970178926441352,-0.025040184145632298,68.97,023
BEE,48822,11.9,7.3,15.7,890,72.0,79.0396698865235,10.946483354164299,0.4747,5.613746028009886,-0.4818150446585755,54.93,025
BELL,57932,26.6,7.7,13.8,990,88.9,91.1023717709313,12.426012536629859,0.4412,6.106969652858117,0.20554252831773048,54.7,027
BEXAR,62169,30.0,5.6,15.6,1114,86.7,85.37190140806523,18.749641854334996,0.4654,6.487859840139223,0.18906256738360766,58.75,029
BLANCO,71201,25.7,4.3,15.3,863,87.2,90.15203870076019,25.85685751153377,0.4619,1.9161928827121497,0.5491589279075149,77.15,031
BORDEN,68500,38.0,4.4,5.5,-666666666,84.2,92.17877094972067,-11.691526254044787,0.4377,4.081632653061225,1.3406396740403417,79.67,033
BOSQUE,59328,18.4,3.8,16.8,828,77.6,89.52068386505877,30.623747770756733,0.4069,3.0837004405286343,0.34990976357437653,70.1,035
BOWIE,54949,22.9,4.1,14.7,808,74.6,89.7532393292683,28.737436450108945,0.4845,6.30609422358238,0.04864728520792185,58.6,037
BRAZORIA,87958,31.3,5.1,13.4,1252,90.7,88.8094040577445,22.153709413104465,0.4167,2.654404428566831,0.8313908610248312,64.96,039
BRAZOS,52658,42.2,4.4,12.3,1018,83.5,88.71735772650517,26.417630959811785,0.5172,5.422889736568333,0.3465744431310699,63.51,041
BREWSTER,48679,46.0,3.4,12.7,728,78.3,87.98882681564245,26.636316337148802,0.4608,6.332341691457713,0.42159354926709014,62.18,043
BRISCOE,38469,15.6,1.8,26.1,594,68.4,85.19668737060042,-4.744335768230778,0.4787,8.07899461400359,-0.6861139809268935,72.32,045
BROOKS,26827,18.0,1.7,22.7,405,66.0,68.53766617429838,7.682735921005097,0.5142,13.731958762886599,-1.128193500240834,50.03,047
BROWN,49232,19.4,5.2,16.9,827,82.0,86.94191795297581,13.870706603446282,0.4685,6.886901917957819,-0.13526168780381118,65.96,049
BURLESON,64109,21.1,5.5,13.9,778,77.9,82.8024453024453,22.08215108639765,0.4341,5.321816662022847,0.1350967765724235,67.5,051
BURNET,65363,27.8,3.7,18.1,1084,86.2,88.59722262154625,20.46480768167493,0.4369,3.2997045872582356,0.4409800672524164,72.41,053
CALDWELL,63380,16.0,2.4,24.1,1016,82.1,80.06033080260303,27.95510063997739,0.4296,4.876004191407614,0.05485508196468033,57.73,055
CALHOUN,61887,17.4,4.1,13.6,872,79.5,83.0044744370278,14.252219986338547,0.4106,2.774909654104285,0.26703186360110276,59.32,057
CALLAHAN,55820,22.4,4.5,16.3,790,82.0,89.56797706797707,37.59613488463814,0.4002,4.059462550028588,0.42922396054288514,66.87,059
CAMERON,43057,19.0,6.0,28.5,785,68.0,69.45786452445985,24.521371970617157,0.4697,6.8561101284319,-0.7742690791942284,49.12,061
CAMP,50947,22.8,8.2,20.4,727,80.0,87.38243556858434,27.224372580846545,0.4628,5.039908779931586,-0.1246146576491833,62.32,063
CARSON,76786,26.1,2.2,10.2,874,79.1,92.51919742382958,18.948477243857855,0.4051,2.936021034180543,0.7642367315926776,71.17,065
CASS,49626,17.3,8.8,14.7,740,76.6,86.9311377245509,26.06310013717421,0.4319,7.563099111775569,-0.1851599122835012,64.75,067
CASTRO,53551,21.8,4.1,22.3,737,80.7,76.37001315212626,25.31533007277748,0.4193,5.254447662391394,-0.03852578051633739,55.25,069
CHAMBERS,93707,23.9,8.4,14.2,1104,88.6,89.4188980793495,33.11409739189727,0.4418,2.395169406239517,0.6349195243370627,67.19,071
