County,UOI,Voter_Turnout,fips
ANDERSON,-0.6510955696658085,63.21,001
ANDREWS,-0.08306575439707475,56.31,003
ANGELINA,-0.24359084756488042,61.53,005
ARANSAS,0.03729060412605063,65.32,007
ARCHER,0.2944631784836529,73.24,009
ARMSTRONG,1.1067520500435128,77.75,011
ATASCOSA,-0.2995945727025518,57.37,013
AUSTIN,0.5696375468169553,69.57,015
BAILEY,-1.0965490304632448,55.11,017
BANDERA,0.5541232941345714,71.26,019
BASTROP,0.03475456542750495,64.73,021
BAYLOR,0.26585286219679816,68.97,023
BEE,-0.7271568725691725,54.93,025
BELL,0.33713054256055813,54.7,027
BEXAR,0.22751839199140528,58.75,029
BLANCO,0.6510084573689044,77.15,031
BORDEN,1.6631336840967368,79.67,033
BOSQUE,0.2294098211501509,70.1,035
BOWIE,0.023864832503996958,58.6,037
BRAZORIA,0.5932551658370875,64.96,039
BRAZOS,0.5368636055036278,63.51,041
BREWSTER,1.1918493097328753,62.18,043
BRISCOE,-0.9398386543232295,72.32,045
BROOKS,-0.6140469312944157,50.03,047
BROWN,-0.04422231392854643,65.96,049
BURLESON,0.39899406496888495,67.5,051
BURNET,0.3952840391273031,72.41,053
CALDWELL,-0.5803680555481493,57.73,055
CALHOUN,0.3737348861610884,59.32,057
CALLAHAN,0.09883942863508591,66.87,059
CAMERON,-0.6161129296430251,49.12,061
CAMP,-0.11549267261035714,62.32,063
CARSON,0.7130359809929248,71.17,065
CASS,0.14683299375285988,64.75,067
CASTRO,-0.10508304975184748,55.25,069
CHAMBERS,0.41895227814310937,67.19,071
CHEROKEE,-0.24126730352302417,63.74,073
CHILDRESS,-0.8355514996398832,59.99,075
CLAY,0.5774186237180706,71.56,077
COCHRAN,-0.5170700029708366,53.34,079
COKE,0.4329708101447656,73.41,081
COLEMAN,-0.4200003178953348,67.5,083
COLLIN,1.6346885939871194,69.07,085
COLLINGSWORTH,-0.2680122774049869,64.07,087
COLORADO,0.14580360864628567,67.57,089
COMAL,1.2225262917740558,71.9,091
COMANCHE,0.13185920675972673,65.06,093
CONCHO,-0.23500191486792388,66.85,095
