County,Median_Household_Income,Bachelors_Degree_Pct,No_Vehicle_Pct,No_Health_Insurance_Pct,UOI,Voter_Turnout,fips
ANDERSON,49736,12.0,5.9780299811858955,16.9,-0.11197106584335462,63.21,001
ANDREWS,80518,18.8,2.682420565224333,23.7,-0.5758661707278439,56.31,003
ANGELINA,52377,18.0,5.624217521106867,19.2,-0.08175976703181101,61.53,005
ARANSAS,51509,24.8,5.329123612705702,16.0,0.2571276680702895,65.32,007
ARCHER,67083,22.5,3.4114506081281517,16.8,-0.04231596744975515,73.24,009
ARMSTRONG,71136,26.7,0.423728813559322,8.5,0.21040102147184983,77.75,011
ATASCOSA,63391,14.8,5.069501226492233,19.5,-0.24856111842936002,57.37,013
AUSTIN,68400,23.9,3.2936407398023815,15.4,0.059384170976591474,69.57,015
BAILEY,64044,15.0,10.758196721311474,32.4,-0.3343908627202521,55.11,017
BANDERA,64495,27.5,1.3002505069784087,15.4,-0.028475258068925258,71.26,019
BASTROP,78339,23.1,2.606248600940168,18.6,-0.19479498327282582,64.73,021
BAYLOR,43705,19.7,4.970178926441352,17.9,-0.029052697658644835,68.97,023
BEE,48822,11.9,5.613746028009886,15.7,-0.0901736750867566,54.93,025
BELL,57932,26.6,6.106969652858117,13.8,0.4999463010382188,54.7,027
BEXAR,62169,30.0,6.487859840139223,15.6,0.5493261142661157,58.75,029
BLANCO,71201,25.7,1.9161928827121497,15.3,-0.01704796648572897,77.15,031
BORDEN,68500,38.0,4.081632653061225,5.5,1.065737585489924,79.67,033
BOSQUE,59328,18.4,3.0837004405286343,16.8,-0.1988673987605834,70.1,035
BOWIE,54949,22.9,6.30609422358238,14.7,0.36195962519542924,58.6,037
BRAZORIA,87958,31.3,2.654404428566831,13.4,0.321775872947778,64.96,039
BRAZOS,52658,42.2,5.422889736568333,12.3,0.980710258140356,63.51,041
BREWSTER,48679,46.0,6.332341691457713,12.7,1.1652812592854092,62.18,043
BRISCOE,38469,15.6,8.07899461400359,26.1,-0.2617245904094026,72.32,045
BROOKS,26827,18.0,13.731958762886599,22.7,0.5413512913748064,50.03,047
BROWN,49232,19.4,6.886901917957819,16.9,0.20183288837257926,65.96,049
BURLESON,64109,21.1,5.321816662022847,13.9,0.2508549384935739,67.5,051
BURNET,65363,27.8,3.2997045872582356,18.1,0.04124582305649166,72.41,053
CALDWELL,63380,16.0,4.876004191407614,24.1,-0.4644087131408916,57.73,055
CALHOUN,61887,17.4,2.774909654104285,13.6,-0.09748333980152915,59.32,057
CALLAHAN,55820,22.4,4.059462550028588,16.3,0.043911470261805155,66.87,059
CAMERON,43057,19.0,6.8561101284319,28.5,-0.40110922628314133,49.12,061
CAMP,50947,22.8,5.039908779931586,20.4,-0.05493202820001057,62.32,063
CARSON,76786,26.1,2.936021034180543,10.2,0.35420893311397394,71.17,065
CASS,49626,17.3,7.563099111775569,14.7,0.31649254318601117,64.75,067
CASTRO,53551,21.8,5.254447662391394,22.3,-0.16028007604015962,55.25,069
